(-6.18, 1.09, -5.28) | 0.1962 | 0 
(-6.17, 1.09, -5.26) | 0.9467716 | 0.02 
(-5.25, 1.80, -2.67) | 15.63145 | 0.3533334 
(-5.01, 1.98, -2.06) | 17.36076 | 0.3919349 
(-4.88, 2.08, -1.73) | 18.21488 | 0.4076266 
(-4.74, 2.19, -1.40) | 19.0598 | 0.4258365 
(-4.59, 2.30, -1.04) | 19.89392 | 0.4501731 
(-4.43, 2.42, -0.68) | 20.7151 | 0.4623671 
(-4.25, 2.54, -0.31) | 21.52052 | 0.4864093 
(-4.07, 2.67, 0.08) | 22.30642 | 0.5049989 
(-3.87, 2.81, 0.47) | 23.06785 | 0.5288804 
(-3.66, 2.95, 0.87) | 23.79853 | 0.5410345 
(-3.55, 3.10, 1.30) | 23.24841 | 0.5684066 
(-3.44, 3.27, 1.72) | 23.25729 | 0.5889381 
(-3.34, 3.43, 2.16) | 23.46155 | 0.6017534 
(-3.22, 3.60, 2.58) | 23.82508 | 0.6259161 
(-3.08, 3.78, 3.01) | 24.1427 | 0.6441631 
(-2.93, 3.96, 3.43) | 24.41814 | 0.662249 
(-2.76, 4.16, 3.85) | 24.65587 | 0.6804488 
(-2.57, 4.36, 4.27) | 24.86074 | 0.7107881 
(-2.36, 4.57, 4.67) | 25.0377 | 0.7236454 
(-2.15, 4.78, 5.07) | 25.19159 | 0.7420166 
(-1.91, 5.01, 5.46) | 25.327 | 0.7713777 
(-1.67, 5.25, 5.84) | 25.44815 | 0.7834823 
(-1.41, 5.49, 6.21) | 25.55889 | 0.8077073 
(-1.13, 5.74, 6.56) | 25.66268 | 0.8259227 
(-0.82, 6.05, 6.78) | 24.91706 | 0.8440778 
(-0.50, 6.35, 7.03) | 25.18563 | 0.8623109 
(-0.17, 6.66, 7.26) | 25.45731 | 0.8953421 
(0.18, 6.98, 7.48) | 25.73372 | 0.9002845 
(0.53, 7.31, 7.68) | 26.01643 | 0.9230204 
(0.88, 7.64, 7.87) | 26.30692 | 0.9416088 
(1.25, 7.99, 8.04) | 26.60661 | 0.9652852 
(1.63, 8.34, 8.19) | 26.91686 | 0.9837098 
(2.01, 8.71, 8.32) | 27.23899 | 1.007704 
(2.39, 9.09, 8.44) | 27.5742 | 1.026479 
(2.78, 9.47, 8.54) | 27.92369 | 1.050177 
(3.18, 9.87, 8.62) | 28.28853 | 1.062253 
(3.58, 10.28, 8.68) | 28.66974 | 1.08044 
(3.98, 10.69, 8.72) | 29.06821 | 1.11071 
(4.38, 11.12, 8.74) | 29.48476 | 1.123026 
(5.19, 12.02, 8.73) | 30.35497 | 1.169517 
(5.59, 12.48, 8.70) | 30.8293 | 1.184882 
(6.00, 12.96, 8.64) | 31.32382 | 1.201858 
(6.40, 13.45, 8.57) | 31.83885 | 1.221347 
(6.80, 13.95, 8.47) | 32.37466 | 1.244215 
